,StoreID,CreationDate,StoreName,StoreAddress,ZCTA,ZIPcode,BoroName,latitude,longitude,Xcoord,Ycoord,Census.2010.PUMA,CD.Code,Census.CD.Name,DiscountCard,OrangesSold,OrangesPrefSold,OrangesBrand,OrangesPrefPrice,OrangesPrefSale,OrangesAlt,OrangesAltBrand,OrangesAltUnit,OrangesAltAmount,OrangesAltPrice,OrangesAltSale,OrangesComments,OrangesOrganic,BananasPrefSold,BananasPrefBrand,BananasPrefPrice,BananasOrganic,BananasPrefSale,StrawberriesPrefSold,StrawberriesPrefBrand,StrawberriesPrefPrice,StrawberriesPrefSale,StrawberriesOrganic,TomatoesSold,TomatoesPrefSold,TomatoesPrefBrand,TomatoesPrefPrice,TomatoesPrefSale,TomatoesAlt,TomatoesAltBrand,TomatoesAltUnit,TomatoesAltAmount,TomatoesAltPrice,TomatoesAltSale,TomatoesComments,TomatoesOrganic,LettuceSold,LettucePrefSold,LettucePrefBrand,LettucePrefPrice,LettucePrefSale,LettuceAlt,LettuceAltBrand,LettuceAltAmount,LettuceAltPrice,LettuceAltSale,LettuceComment,LettuceOrganic,PotatoesSold,PotatoesPrefSold,PotatoesPrefBrand,PotatoesPrefPrice,PotatoesPrefSale,PotatoesAlt,PotatoesAltBrand,PotatoesAltUnit,PotatoesAltAmount,PotatoesAltPrice,PotatoesAltSale,PotatoesComments,PotatoesOrganic,BeefSold,BeefPrefSold,BeefPrefBrand,BeefPrefPrice,BeefPrefSale,BeefAltLean,BeefAlt,BeefAltBrand,BeefAltWeight,BeefAltPrice,BeefAltSale,BeefComment,BeefOrganic,MilkSold,MilkPrefSold,MilkPrefBrand,MilkPrefPrice,MilkPrefSale,MilkAltBrand,MilkAltSize,MilkAltFat,MilkAltPrice,MilkAltSale,MilkComment,MilkOrganic,EggsPrefSold,EggsPrefBrand,EggsPrefPrice,EggsOrganic,EggsPrefSale,BreadSold,BreadPrefSold,BreadPrefBrand,BreadPrefPrice,BreadPrefSale,BreadAlt,BreadAltBrand,BreadAltPrice,BreadAltSale,BreadComment
11,FM0000095323,4/16/2019 18:15,Key Food ,3485 NEPTUNE AVENUE,11224,11224,BROOKLYN,40.577041,-74.001912,983719,149508,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",unknown,yes,no,,,,Navel,,piece,4,2,,,no,yes,Mrs. Belinda ,0.59,no,yes,yes,Supreme Berry Farms,2.99,,no,yes,yes,Double Diamond Farms ,2.99,,,,,,,,,no,yes,yes,,1.99,,,,,,,,no,yes,yes,,0.99,yes,,,,,,,,no,yes_,yes,Key Food label (store brand),5.69,,,,,,,,,no,yes,yes,Cream O Land,2.69,,,,,,,,no,yes,Key Food ,2.69,no,,yes,yes,Urban Meadow Fresh ,1.99,,,,,,
12,FM0000106275,3/12/2019 15:58,C-Town, SUNSET PARK,11232,11232,BROOKLYN,40.660392,-73.998111,984774,179875,3604012,307,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",unknown,yes,no,,,,Navel ,Sunkist,piece,5,5,yes,,no,yes,Chiquita ,0.89,no,,yes,Central West,3.99,,no,yes,yes,Magic Sun,2.99,yes,,,,,,,,no,yes,yes,,2.49,yes,,,,,,,no,yes,yes,,0.99,,,,,,,,,no,yes_,no,,,,80,,C-Town,2.43,8.97,yes,,no,yes,yes,Derle Hygrade,2.49,yes,,,,,,,no,yes,Pine Belt,2,no,,yes,yes,Krasdale,1.99,,,,,,
13,FM0000119169,5/1/2019 19:55,Gristedes ,307 WEST 26 STREET,10001,10001,MANHATTAN,40.747352,-73.997423,984964,211557,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",yes,yes,no,,,,Navel ,Sunkist ,piece,3,5,,,no,yes,Dole,0.89,no,,yes,Driscoll’s ,3.99,yes,yes,yes,yes,Backyard Farms,4.99,,,,,,,,,no,yes,yes,,2.99,,,,,,,,no,yes,yes,,1.49,,,,,,,,,no,yes_,yes,Gristedes label (store brand),7.99,,,,,,,,,no,yes,yes,Tuscan ,2.69,,,,,,,,no,yes,Best Yet,2.99,no,,yes,yes,Nature’s Own,3.49,,,,,,
14,FM0000123788,4/16/2019 18:39,Fine Fare Supermarkets,2901 MERMAID AVENUE,11224,11224,BROOKLYN,40.575444,-73.995544,985488,148926,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",unknown,yes,no,,,,Navel,Sunkist ,piece,5,2,yes,,no,yes,Bonita,0.69,no,yes,yes,Ocean Spray,2.99,yes,no,yes,yes,Bona Fresh ,2.99,yes,,,,,,,,no,yes,yes,,1.49,,,,,,,,no,yes,yes,,1.29,,,,,,,,,no,yes_,yes,Black Canyon ,5.89,,,,,,,,,no,yes,yes,Cream O Land,2.49,yes,,,,,,,no,yes,Nelms Eggs,2,no,,yes,yes,Nature’s Own,1.99,,,,,,
15,FM0000135882,5/9/2019 19:21,Gristedes,101 CLARK STREET,11201,11201,BROOKLYN,40.697285,-73.992304,986384,193316,3604004,302,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",yes,yes,no,,,,Navel,Sunkist ,piece,3,5,,,no,yes,Dole,0.89,no,,yes,Driscoll’s ,3.99,yes,yes,yes,yes,Backyard Farms ,2.99,yes,,,,,,,,no,yes,yes,,2.99,,,,,,,,no,yes,yes,,1.49,,,,,,,,,no,yes_,yes,Gristedes label (store brand),7.99,,,,,,,,,no,yes,yes,Dairy pure,2.69,,,,,,,,no,yes,Best yet ,2.89,no,,yes,yes,Nature’s Own ,3.49,,,,,,
16,FM0000146766,3/28/2019 13:19,Whole Foods Market,95 EAST HOUSTON STREET,10002,10002,MANHATTAN,40.724021,-73.992251,986398,203057,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,yes,Sunkist,1.79,,,,,,,,,no,yes,,0.49,no,,yes,Driscoll’s ,3.49,yes,no,yes,yes,Backyard Farms,1.99,,,,,,,,,no,yes,yes,,2.49,,,,,,,,yes,yes,yes,,0.79,,,,,,,,,no,yes_,yes,,5.49,yes,,,,,,,,no,yes,yes,365 Everyday Value,2.39,,,,,,,,no,yes,365 Everyday Value,2.99,no,,yes,yes,365 Everyday Value,2.99,,,,,,
17,FM0000156827,4/22/2019 20:05,The Food Emporium ,10 UNION SQUARE EAST,10003,10003,MANHATTAN,40.734704,-73.989926,987042,206949,3603807,105,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",unknown,yes,no,,,,Navel,Paramount,piece,3,5,,,no,yes,Ms. Belinda,0.79,no,,yes,Central West,3.5,,no,yes,yes,Double Diamond Farms,2.99,,,,,,,,,no,yes,no,,,,Romaine,Tanimura & Antle ,3 heads,3.99,,,no,yes,yes,Green Giant ,1.29,,,,,,,,,no,yes_,yes,Food emporium label (store brand),6.69,,,,,,,,,no,yes,yes,Cream O Land,2.39,,,,,,,,no,yes,Sunshine Farms ,1.79,no,,yes,yes,Arnold ,3.5,,,,,,
18,FM0000168073,5/16/2019 19:56,D’Agostino ,815 10 AVENUE,10019,10019,MANHATTAN,40.767287,-73.989906,987046,218820,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",yes,yes,no,,,,Navel,Sunkist ,piece,2,3,,,no,yes,Del Monte,0.89,no,,yes,Driscoll’s ,3.99,yes,no,yes,yes,Backyard Farms ,4.99,,,,,,,,,no,yes,yes,,2.99,,,,,,,,no,yes,yes,,1.69,,,,,,,,,no,yes_,yes,Hereford beef,9.99,,,,,,,,,no,yes,yes,Dairy pure ,2.79,,,,,,,,no,yes,D’Agostino,2.79,no,,yes,yes,Nature’s Own ,3.49,,,,,,
19,FM0000173240,5/9/2019 20:14,Whole Foods Market,214 3 STREET,11215,11215,BROOKLYN,40.6754,-73.988691,987387,185343,3604005,306,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",unknown,yes,yes,Suntreat ,0.99,,,,,,,,,no,yes,Whole foods,0.49,no,,yes,Driscoll’s ,2.99,,no,yes,yes,Backyard Farms ,1.99,,,,,,,,,no,yes,yes,,1.99,,,,,,,,yes,yes,yes,,0.79,,,,,,,,,no,yes_,yes,Whole Foods label (store brand),9.99,,,,,,,,,no,yes,yes,365 everyday value ,2.39,,,,,,,,no,no,,,,,yes,yes,365 everyday value,2.99,,,,,,
20,FM0000184608,3/15/2019 17:00,Food Mart ,117 LUDLOW STREET,10002,10002,MANHATTAN,40.719533,-73.988647,987397,201422,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,no,,,,,,,,,,,,,no,,,,,no,,,,,no,,,,,,,,,,,,,no,,,,,,,,,,,,no,,,,,,,,,,,,,no,,,,,,,,,,,,,yes,yes,Derle Hygrade ,2.49,,,,,,,,no,yes,Noah’s Pride,1.7,no,,yes,yes,Sara Lee,2.99,,,,,,
