,zip_code_tabulation_area,percent_owner,qrt_percent_owner,percent_rentburdened,qrt_percent_rentburdened,HH_value,qrt_HH_value,percent_snap,qrt_percent_snap,percent_poverty,qrt_percent_poverty,percent_employed,qrt_percent_employed,percent_lths,qrt_percent_lths,percent_noenglish,qrt_percent_noenglish,percent_black,qrt_percent_black,percent_latino,qrt_percent_latino,percent_aapi,qrt_percent_aapi,percent_other,qrt_percent_other,percent_noinsurance,qrt_percent_noinsurance,GINI_index,qrt_GINI_index
11,11228,0.514345524,Q4,0.516395864,Q3,907300,Q4,0.13415763,Q2,0.12070177,Q2,0.563670876,Q2,0.192473724,Q3,0.204916851,Q4,0.01941463,Q1,0.124244611,Q2,0.381933796,Q4,0.056034094,Q2,0.058607976,Q2,0.4712,Q2
12,11236,0.455590242,Q3,0.461097271,Q2,554700,Q2,0.158272102,Q3,0.125329921,Q2,0.604389197,Q3,0.122589252,Q2,0.034302498,Q1,0.86879735,Q4,0.076573718,Q1,0.035549958,Q1,0.043601999,Q2,0.069252879,Q3,0.4324,Q1
13,11428,0.651139742,Q4,0.495344507,Q3,494100,Q2,0.092202413,Q2,0.076367115,Q1,0.595494802,Q2,0.168298028,Q3,0.084717329,Q3,0.258547462,Q3,0.251805054,Q3,0.306753026,Q4,0.263644086,Q4,0.077907594,Q3,0.3996,Q1
14,11433,0.407961064,Q3,0.548518205,Q4,437300,Q1,0.250400981,Q4,0.163551402,Q3,0.555406705,Q1,0.232657417,Q4,0.092809221,Q3,0.659247454,Q4,0.170930013,Q2,0.103751925,Q2,0.199832527,Q4,0.097518114,Q4,0.4559,Q2
15,11004,0.675611101,Q4,0.291984733,Q1,531300,Q2,0.049542683,Q1,0.060578214,Q1,0.561872128,Q2,0.088825215,Q1,0.057855927,Q2,0.072592396,Q2,0.118095112,Q2,0.464564843,Q4,0.058815737,Q2,0.018973999,Q1,0.3906,Q1
16,11005,0.765625,Q4,0.4,Q1,696400,Q3,0,,0.134735645,Q3,0.1529278,,0.014212621,Q1,0.003411029,Q1,0,,0.014781126,Q1,0.023877203,Q1,0,,0,,0.5401,Q4
17,11211,0.156607784,Q1,0.45872789,Q2,1060500,Q4,0.200445159,Q3,0.252199499,Q4,0.671766307,Q4,0.16565208,Q3,0.092001028,Q3,0.079827003,Q2,0.241274982,Q3,0.068219505,Q2,0.100278308,Q3,0.055436769,Q2,0.538,Q4
18,11372,0.299858557,Q2,0.572136495,Q4,346000,Q1,0.144664929,Q3,0.127878593,Q2,0.637260845,Q3,0.22672014,Q4,0.280431717,Q4,0.037101855,Q1,0.574633277,Q4,0.222929328,Q3,0.190648169,Q4,0.122125449,Q4,0.4534,Q2
19,11217,0.259570867,Q2,0.339813375,Q1,1250000,Q4,0.118457453,Q2,0.132578427,Q3,0.693854812,Q4,0.103670697,Q2,0.036935775,Q2,0.223399421,Q3,0.167986033,Q2,0.109415732,Q2,0.086791189,Q3,0.037291747,Q1,0.5229,Q4
20,11206,0.090832021,Q1,0.511060611,Q3,740800,Q3,0.381510124,Q4,0.349186526,Q4,0.571383138,Q2,0.249701604,Q4,0.13543705,Q3,0.268711407,Q3,0.375630499,Q4,0.07610097,Q2,0.186062292,Q3,0.070996602,Q3,0.537,Q4
21,11363,0.744576627,Q4,0.539940828,Q3,814000,Q3,0.05064194,Q1,0.06962921,Q1,0.625846883,Q3,0.045657846,Q1,0.074613421,Q2,0.019447576,Q1,0.126972943,Q2,0.362175874,Q4,0.041290868,Q1,0.029171364,Q1,0.4673,Q2
