,StoreID,CreationDate,StoreName,StoreAddress,ZCTA,ZIPcode,BoroName,latitude,longitude,Xcoord,Ycoord,Census.2010.PUMA,CD.Code,Census.CD.Name,beef_type,beef_price_1lb,beef_price_1lb_imp,bread_type,bread_price_loaf,bread_price_loaf_imp,tomato_type,tomato_price,tomato_price_imp,potato_type,potato_price,potato_price_imp,orange_type,orange_price,orange_price_imp,lettuce_type,lettuce_price,lettuce_price_imp,milk_type,milk_price,milk_price_imp,strawberries_type,strawberries_price,strawberries_price_imp,banana_type,banana_price,banana_price_imp,eggs_type,eggs_price,eggs_price_imp,missingvalues,SFB,SFB_imp
11,FM0000095323,4/16/2019 18:15,Key Food ,3485 NEPTUNE AVENUE,11224,11224,BROOKLYN,40.577041,-74.001912,983719,149508,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",P,5.69,5.69,P,1.99,1.99,P,2.99,2.99,P,0.99,0.99,A,0.5,0.5,P,1.99,1.99,P,2.69,2.69,P,2.99,2.99,P,0.59,0.59,P,2.69,2.69,0,23.11,23.11
12,FM0000106275,3/12/2019 15:58,C-Town, SUNSET PARK,11232,11232,BROOKLYN,40.660392,-73.998111,984774,179875,3604012,307,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",A,3.691358025,3.691358025,P,1.99,1.99,P,2.99,2.99,P,0.99,0.99,A,1,1,P,2.49,2.49,P,2.49,2.49,P,3.99,3.99,P,0.89,0.89,P,2,2,0,22.52135802,22.52135802
13,FM0000119169,5/1/2019 19:55,Gristedes ,307 WEST 26 STREET,10001,10001,MANHATTAN,40.747352,-73.997423,984964,211557,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",P,7.99,7.99,P,3.49,3.49,P,4.99,4.99,P,1.49,1.49,A,1.666666667,1.666666667,P,2.99,2.99,P,2.69,2.69,P,3.99,3.99,P,0.89,0.89,P,2.99,2.99,0,33.17666667,33.17666667
14,FM0000123788,4/16/2019 18:39,Fine Fare Supermarkets,2901 MERMAID AVENUE,11224,11224,BROOKLYN,40.575444,-73.995544,985488,148926,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",P,5.89,5.89,P,1.99,1.99,P,2.99,2.99,P,1.29,1.29,A,0.4,0.4,P,1.49,1.49,P,2.49,2.49,P,2.99,2.99,P,0.69,0.69,P,2,2,0,22.22,22.22
15,FM0000135882,5/9/2019 19:21,Gristedes,101 CLARK STREET,11201,11201,BROOKLYN,40.697285,-73.992304,986384,193316,3604004,302,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",P,7.99,7.99,P,3.49,3.49,P,2.99,2.99,P,1.49,1.49,A,1.666666667,1.666666667,P,2.99,2.99,P,2.69,2.69,P,3.99,3.99,P,0.89,0.89,P,2.89,2.89,0,31.07666667,31.07666667
16,FM0000146766,3/28/2019 13:19,Whole Foods Market,95 EAST HOUSTON STREET,10002,10002,MANHATTAN,40.724021,-73.992251,986398,203057,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,5.49,5.49,P,2.99,2.99,P,1.99,1.99,P,0.79,0.79,P,0.559375,0.559375,P,2.49,2.49,P,2.39,2.39,P,3.49,3.49,P,0.49,0.49,P,2.99,2.99,0,23.669375,23.669375
17,FM0000156827,4/22/2019 20:05,The Food Emporium ,10 UNION SQUARE EAST,10003,10003,MANHATTAN,40.734704,-73.989926,987042,206949,3603807,105,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",P,6.69,6.69,P,3.5,3.5,P,2.99,2.99,P,1.29,1.29,A,1.666666667,1.666666667,A,1.33,1.33,P,2.39,2.39,P,3.5,3.5,P,0.79,0.79,P,1.79,1.79,0,25.93666667,25.93666667
18,FM0000168073,5/16/2019 19:56,D’Agostino ,815 10 AVENUE,10019,10019,MANHATTAN,40.767287,-73.989906,987046,218820,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",P,9.99,9.99,P,3.49,3.49,P,4.99,4.99,P,1.69,1.69,A,1.5,1.5,P,2.99,2.99,P,2.79,2.79,P,3.99,3.99,P,0.89,0.89,P,2.79,2.79,0,35.11,35.11
19,FM0000173240,5/9/2019 20:14,Whole Foods Market,214 3 STREET,11215,11215,BROOKLYN,40.6754,-73.988691,987387,185343,3604005,306,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",P,9.99,9.99,P,2.99,2.99,P,1.99,1.99,P,0.79,0.79,P,0.309375,0.309375,P,1.99,1.99,P,2.39,2.39,P,2.99,2.99,P,0.49,0.49,M,,1.315791159,1,,25.24516616
20,FM0000184608,3/15/2019 17:00,Food Mart ,117 LUDLOW STREET,10002,10002,MANHATTAN,40.719533,-73.988647,987397,201422,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",M,,7.724152267,P,2.99,2.99,M,,0.920310609,M,,0.81978421,M,,-0.091248284,M,,1.605959908,P,2.49,2.49,M,,4.252043176,M,,0.654794864,P,1.7,1.7,7,,23.06579675
